K,home_advantage,accuracy,log_loss,brier_score,correct,total
5,0,0.5670103092783505,1.0679730691144103,0.6456403775257732,55,97
15,0,0.5670103092783505,1.0456376102333955,0.6288039448453608,55,97
80,0,0.5670103092783505,0.9961713949624182,0.5926643784536082,55,97
75,0,0.5670103092783505,0.995963460199303,0.5926874798969072,55,97
70,0,0.5670103092783505,0.9962403015877141,0.5929910986597938,55,97
65,0,0.5670103092783505,0.9970216252203864,0.5936087383505155,55,97
60,0,0.5670103092783505,0.9983352031974072,0.5945640362886598,55,97
55,0,0.5670103092783505,1.000284369861437,0.5959309335051546,55,97
50,0,0.5670103092783505,1.0028927398539214,0.597745782371134,55,97
40,0,0.5670103092783505,1.0104099447496953,0.6029990317525773,55,97
35,0,0.5670103092783505,1.015416320330378,0.6065624105154638,55,97
30,0,0.5670103092783505,1.0213751522323484,0.6108502290721649,55,97
25,0,0.5670103092783505,1.0283589679338287,0.6159417762886598,55,97
20,0,0.5670103092783505,1.0364221265478206,0.6218988180412371,55,97
45,0,0.5670103092783505,1.0062527092687772,0.6000822701030928,55,97
10,0,0.5670103092783505,1.0561562271003855,0.6367097524742268,55,97
55,50,0.5567010309278351,0.9799421354878558,0.5845714751546393,54,97
25,25,0.5463917525773195,1.0107332221871497,0.603410463814433,53,97
60,50,0.5463917525773195,0.9782897256357366,0.583872198556701,53,97
70,125,0.5360824742268041,1.0267951625506166,0.6199607153608248,52,97
65,25,0.5360824742268041,0.9815416961780691,0.5846372857731958,52,97
65,50,0.5360824742268041,0.977249003196136,0.5835839249484536,52,97
60,25,0.5360824742268041,0.9827155177724496,0.5851661549484536,52,97
70,25,0.5360824742268041,0.9809607905827888,0.5844829018556701,52,97
70,50,0.5360824742268041,0.9767480156395442,0.5836529110309279,52,97
40,75,0.5360824742268041,0.9950249625806746,0.5955653913402063,52,97
55,100,0.5360824742268041,1.003608962710617,0.6038595678350515,52,97
60,100,0.5360824742268041,1.0020119577108617,0.6030156020618558,52,97
75,25,0.5360824742268041,0.980860943034533,0.5846262902061856,52,97
75,125,0.5360824742268041,1.026527898710805,0.6196872512371134,52,97
80,25,0.5360824742268041,0.98124906899929,0.5850489557731958,52,97
45,75,0.5360824742268041,0.9915400690350205,0.5934884450515464,52,97
80,125,0.5360824742268041,1.0266139362759432,0.6196435253608248,52,97
35,50,0.5257731958762887,0.9932542638568232,0.5923759942268041,51,97
55,75,0.5257731958762887,0.986563239173215,0.5908223175257732,51,97
55,25,0.5257731958762887,0.9844466714682605,0.5860785026804124,51,97
45,25,0.5257731958762887,0.9899597584865206,0.5893530865979381,51,97
45,50,0.5257731958762887,0.9851327830718267,0.587352957628866,51,97
40,50,0.5257731958762887,0.9888242960597218,0.5895672651546391,51,97
40,25,0.5257731958762887,0.9938514573634105,0.5918336222680413,51,97
60,75,0.5257731958762887,0.9849767581467849,0.5901426161855671,51,97
50,75,0.5257731958762887,0.988724362381382,0.5919128364948454,51,97
15,25,0.5257731958762887,1.026999517442695,0.6151961907216495,51,97
65,75,0.5257731958762887,0.983968992164751,0.5898576415463918,51,97
35,25,0.5257731958762887,0.9985624517174037,0.5949587644329898,51,97
70,100,0.5257731958762887,1.000363579116799,0.6023600241237114,51,97
80,100,0.5257731958762887,1.0005739902017414,0.6028758009278351,51,97
80,75,0.5257731958762887,0.9838683206275816,0.5909028260824742,51,97
80,50,0.5257731958762887,0.9772202685624337,0.5846864794845361,51,97
