Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2026,Saudi Arabia,Uruguay,2026-06-15 00:00:00,23:00:00,1,1,1,,,1,,,,,90 minutes,7,27,3,10,11,6,4,14,1,,,,0.66,1.72,7.5,4,1.5,8.4,4.3,1.53,8,4.25,1.5,7.5,4.11,1.46
World Cup 2026,Iran,New Zealand,2026-06-16 00:00:00,02:00:00,2,2,1,1,1,1,,,,,90 minutes,17,14,4,8,10,8,4,1,1,,,,1.5,1.24,1.85,3.4,4.5,1.91,3.6,5,1.87,3.5,5,1.81,3.37,4.7
World Cup 2026,France,Senegal,2026-06-16 00:00:00,20:00:00,3,1,,,3,1,,,,,90 minutes,11,6,8,2,5,9,6,4,,,,,1.78,0.53,1.48,4.5,6.5,1.52,4.6,7.6,1.52,4.55,7.2,1.47,4.41,6.42
World Cup 2026,Iraq,Norway,2026-06-16 00:00:00,23:00:00,1,4,1,2,,2,,,,,90 minutes,11,12,1,5,12,13,2,5,1,,,,0.8,2.52,12,7,1.2,15.5,7.2,1.25,15,7.5,1.24,13.1,6.5,1.21
World Cup 2026,Argentina,Algeria,2026-06-17 00:00:00,02:00:00,3,,1,,2,,,,,,90 minutes,10,7,6,,13,8,2,2,,,,,1.26,0.33,1.55,4,6.5,1.58,4.2,7.4,1.55,4.2,7.1,1.51,4.06,6.48
World Cup 2026,Austria,Jordan,2026-06-17 00:00:00,05:00:00,3,1,1,,2,1,,,,,90 minutes,11,11,4,4,12,7,4,3,1,,,,1.69,0.46,1.4,4.75,8,1.43,5,9.6,1.4,4.8,9.2,1.38,4.69,8.33
World Cup 2026,Portugal,D.R. Congo,2026-06-17 00:00:00,18:00:00,1,1,1,1,,,,,,,90 minutes,7,8,1,2,9,10,5,4,3,1,,,0.65,0.87,1.29,5.25,11,1.3,6,14.5,1.29,6,12,1.26,5.54,11.37
World Cup 2026,England,Croatia,2026-06-17 00:00:00,21:00:00,4,2,2,2,2,,,,,,90 minutes,22,10,11,5,10,12,8,2,,,,,3.21,0.7,1.67,3.9,5.25,1.7,4,5.9,1.68,3.9,5.6,1.65,3.78,5.29
World Cup 2026,Ghana,Panama,2026-06-18 00:00:00,00:00:00,1,,,,1,,,,,,90 minutes,8,11,2,4,9,11,2,2,1,2,,,1.31,0.73,2.35,3.2,3.2,2.46,3.25,3.45,2.38,3.25,3.38,2.3,3.16,3.18
World Cup 2026,Uzbekistan,Colombia,2026-06-18 00:00:00,03:00:00,1,3,,1,1,2,,,,,90 minutes,8,15,2,4,14,11,3,4,1,1,,,1.16,1.61,11,5.25,1.3,12.5,5.4,1.35,11.5,5.5,1.37,9.97,5.16,1.31
World Cup 2026,Czech Republic,South Africa,2026-06-18 00:00:00,17:00:00,1,1,1,,,1,,,,,90 minutes,14,17,3,4,12,10,5,5,1,2,,,1.02,1.38,1.85,3.5,4.2,1.97,3.5,4.7,1.88,3.55,4.6,1.84,3.41,4.33
World Cup 2026,Switzerland,Bosnia & Herzegovina,2026-06-18 00:00:00,20:00:00,4,1,,,4,1,,,,,90 minutes,13,5,7,3,7,18,7,3,1,2,,1,2.06,0.23,1.53,4,6.5,1.58,4.3,7,1.55,4.2,6.5,1.52,4.12,6.15
World Cup 2026,Canada,Qatar,2026-06-18 00:00:00,23:00:00,6,,3,,3,,,,,,90 minutes,32,2,10,,9,10,19,1,1,1,,2,4.6,0.22,1.25,6,12,1.27,6.4,15.5,1.29,6.5,13.5,1.25,5.84,11.38
World Cup 2026,Mexico,South Korea,2026-06-19 00:00:00,02:00:00,1,,,,1,,,,,,90 minutes,8,9,4,2,9,7,,2,,2,,,0.52,0.91,2,3.25,4,2.12,3.2,4.5,2.13,3.3,4.1,2.02,3.19,3.94
